Case_Id,Start_State,Solution_Found,Num_Moves,Num_Nodes_Opened,Computing_Time
1,"(0, 2, ((3, 2, 0), (4, 1, 6), (8, 7, 5)))",0,0,61394,0.7242417335510254
2,"(2, 2, ((3, 8, 2), (7, 6, 4), (1, 5, 0)))",1,26,24246,0.40118908882141113
3,"(1, 1, ((1, 5, 8), (6, 0, 4), (2, 3, 7)))",1,30,51913,0.7418830394744873
4,"(0, 1, ((1, 0, 3), (5, 7, 6), (8, 4, 2)))",1,21,21835,0.19748616218566895
5,"(0, 0, ((0, 6, 7), (2, 8, 4), (5, 1, 3)))",1,28,23071,0.4950850009918213
6,"(1, 1, ((3, 2, 5), (7, 0, 1), (4, 8, 6)))",1,22,9373,0.22124028205871582
7,"(1, 0, ((6, 2, 7), (0, 5, 3), (4, 8, 1)))",0,0,32771,0.618602991104126
8,"(1, 1, ((6, 7, 3), (8, 0, 2), (4, 5, 1)))",1,30,46711,0.7264771461486816
9,"(2, 2, ((8, 7, 2), (3, 4, 1), (5, 6, 0)))",0,0,30648,0.626518726348877
10,"(0, 0, ((0, 7, 8), (4, 5, 1), (2, 6, 3)))",1,26,35471,0.44254016876220703
